time_sec,frame,id,role,status,is_danger
10.54,316,TRAIN -1,train,REPAIR_OBJECT,0
10.54,316,TRAIN -1,train,REPAIR_OBJECT,0
10.54,316,TRAIN -1,train,REPAIR_OBJECT,0
10.58,317,TRAIN -1,train,REPAIR_OBJECT,0
10.58,317,TRAIN -1,train,REPAIR_OBJECT,0
10.58,317,TRAIN -1,train,REPAIR_OBJECT,0
10.61,318,TRAIN -1,train,REPAIR_OBJECT,0
10.61,318,TRAIN -1,train,REPAIR_OBJECT,0
10.61,318,TRAIN -1,train,REPAIR_OBJECT,0
10.64,319,TRAIN -1,train,REPAIR_OBJECT,0
10.64,319,-1,signalman,WORKING,0
10.64,319,TRAIN -1,train,REPAIR_OBJECT,0
10.64,319,-1,signalman,WORKING,0
10.64,319,TRAIN -1,train,REPAIR_OBJECT,0
10.64,319,-1,signalman,WORKING,0
10.68,320,TRAIN -1,train,REPAIR_OBJECT,0
10.68,320,-1,signalman,WORKING,0
10.68,320,TRAIN -1,train,REPAIR_OBJECT,0
10.68,320,-1,signalman,WORKING,0
10.68,320,TRAIN -1,train,REPAIR_OBJECT,0
10.68,320,-1,signalman,WORKING,0
10.71,321,TRAIN -1,train,REPAIR_OBJECT,0
10.71,321,-1,signalman,WORKING,0
10.71,321,TRAIN -1,train,REPAIR_OBJECT,0
10.71,321,-1,signalman,WORKING,0
10.71,321,TRAIN -1,train,REPAIR_OBJECT,0
10.71,321,-1,signalman,WORKING,0
10.74,322,TRAIN -1,train,REPAIR_OBJECT,0
10.74,322,-1,signalman,WORKING,0
10.74,322,TRAIN -1,train,REPAIR_OBJECT,0
10.74,322,-1,signalman,WORKING,0
10.74,322,TRAIN -1,train,REPAIR_OBJECT,0
10.74,322,-1,signalman,WORKING,0
10.78,323,TRAIN -1,train,REPAIR_OBJECT,0
10.78,323,-1,signalman,WORKING,0
10.78,323,TRAIN -1,train,REPAIR_OBJECT,0
10.78,323,-1,signalman,WORKING,0
10.78,323,TRAIN -1,train,REPAIR_OBJECT,0
10.78,323,-1,signalman,WORKING,0
10.81,324,TRAIN -1,train,REPAIR_OBJECT,0
10.81,324,-1,signalman,WORKING,0
10.81,324,TRAIN -1,train,REPAIR_OBJECT,0
10.81,324,-1,signalman,WORKING,0
10.81,324,TRAIN -1,train,REPAIR_OBJECT,0
10.81,324,-1,signalman,WORKING,0
10.84,325,TRAIN -1,train,REPAIR_OBJECT,0
10.84,325,-1,signalman,WORKING,0
10.84,325,TRAIN -1,train,REPAIR_OBJECT,0
10.84,325,-1,signalman,WORKING,0
10.84,325,TRAIN -1,train,REPAIR_OBJECT,0
10.84,325,-1,signalman,WORKING,0
10.88,326,-1,signalman,WORKING,0
10.88,326,-1,signalman,WORKING,0
10.88,326,-1,signalman,WORKING,0
10.91,327,-1,signalman,WORKING,0
10.91,327,-1,signalman,WORKING,0
10.91,327,-1,signalman,WORKING,0
10.94,328,-1,signalman,WORKING,0
10.94,328,-1,signalman,WORKING,0
10.94,328,-1,signalman,WORKING,0
10.98,329,-1,signalman,WORKING,0
10.98,329,-1,signalman,WORKING,0
10.98,329,-1,signalman,WORKING,0
11.01,330,TRAIN -1,train,REPAIR_OBJECT,0
11.01,330,-1,signalman,WORKING,0
11.01,330,TRAIN -1,train,REPAIR_OBJECT,0
11.01,330,-1,signalman,WORKING,0
11.01,330,TRAIN -1,train,REPAIR_OBJECT,0
11.01,330,-1,signalman,WORKING,0
11.04,331,TRAIN -1,train,REPAIR_OBJECT,0
11.04,331,-1,signalman,WORKING,0
11.04,331,TRAIN -1,train,REPAIR_OBJECT,0
11.04,331,-1,signalman,WORKING,0
11.04,331,TRAIN -1,train,REPAIR_OBJECT,0
11.04,331,-1,signalman,WORKING,0
11.08,332,TRAIN -1,train,REPAIR_OBJECT,0
11.08,332,-1,signalman,WORKING,0
11.08,332,TRAIN -1,train,REPAIR_OBJECT,0
11.08,332,-1,signalman,WORKING,0
11.08,332,TRAIN -1,train,REPAIR_OBJECT,0
11.08,332,-1,signalman,WORKING,0
11.11,333,TRAIN -1,train,REPAIR_OBJECT,0
11.11,333,-1,signalman,WORKING,0
11.11,333,TRAIN -1,train,REPAIR_OBJECT,0
11.11,333,-1,signalman,WORKING,0
11.11,333,TRAIN -1,train,REPAIR_OBJECT,0
11.11,333,-1,signalman,WORKING,0
11.14,334,TRAIN -1,train,REPAIR_OBJECT,0
11.14,334,-1,signalman,WORKING,0
11.14,334,TRAIN -1,train,REPAIR_OBJECT,0
11.14,334,-1,signalman,WORKING,0
11.14,334,TRAIN -1,train,REPAIR_OBJECT,0
